year,month,day,obs,rep,line,num,max_temp
2020,11,12,LAN,A,WIA-5D,4,
2020,11,12,LAN,A,UT3,4,
2020,11,12,LAN,B,WIA-5D,4,
2020,11,12,LAN,B,UT3,4,
2020,11,12,LAN,C,WIA-5D,4,
2020,11,12,LAN,C,UT3,4,
2020,11,12,LAN,D,WIA-5D,4,
2020,11,12,LAN,D,UT3,4,
2020,11,17,LAN,A,WIA-5D,20,21.6
2020,11,17,LAN,A,UT3,3,21.6
2020,11,17,LAN,B,WIA-5D,15,21.6
2020,11,17,LAN,B,UT3,1,21.6
2020,11,17,LAN,C,WIA-5D,1,21.6
2020,11,17,LAN,C,UT3,0,21.6
2020,11,17,LAN,D,WIA-5D,8,21.6
2020,11,17,LAN,D,UT3,1,21.6
2020,11,20,LAN,A,WIA-5D,52,24.6
2020,11,20,LAN,A,UT3,17,24.6
2020,11,20,LAN,B,WIA-5D,80,24.6
2020,11,20,LAN,B,UT3,1,24.6
2020,11,20,LAN,C,WIA-5D,7,24.6
2020,11,20,LAN,C,UT3,0,24.6
2020,11,20,LAN,D,WIA-5D,52,24.6
2020,11,20,LAN,D,UT3,28,24.6
2020,11,24,MB,A,WIA-5D,101,25.4
2020,11,24,MB,A,UT3,25,25.4
2020,11,24,MB,B,WIA-5D,150,25.4
2020,11,24,MB,B,UT3,0,25.4
2020,11,24,MB,C,WIA-5D,20,25.4
2020,11,24,MB,C,UT3,0,25.4
2020,11,24,MB,D,WIA-5D,36,25.4
2020,11,24,MB,D,UT3,67,25.4
2020,11,27,LAN,A,WIA-5D,224,23.7
2020,11,27,LAN,A,UT3,15,23.7
2020,11,27,LAN,B,WIA-5D,220,23.7
2020,11,27,LAN,B,UT3,0,23.7
2020,11,27,LAN,C,WIA-5D,62,23.7
2020,11,27,LAN,C,UT3,0,23.7
2020,11,27,LAN,D,WIA-5D,185,23.7
2020,11,27,LAN,D,UT3,59,23.7
2020,12,1,LAN,A,WIA-5D,0,25
2020,12,1,LAN,A,UT3,0,25
2020,12,1,LAN,B,WIA-5D,0,25
2020,12,1,LAN,B,UT3,0,25
2020,12,1,LAN,C,WIA-5D,396,25
2020,12,1,LAN,C,UT3,0,25
2020,12,1,LAN,D,WIA-5D,9,25
2020,12,1,LAN,D,UT3,0,25
2020,12,4,LAN,C,WIA-5D,211,
2020,12,4,LAN,C,UT3,0,
2020,12,4,LAN,D,WIA-5D,0,
2020,12,4,LAN,D,UT3,0,
2020,12,8,LAN,C,WIA-5D,0,
2020,12,8,LAN,C,UT3,0,